Date	Budgeted Cost of Revenue	Budgeted Cost of Expenditure
5/1/2017	19184.00	414148.00
5/2/2017	102298.00	442490.00
5/3/2017	334212.00	549069.00
5/4/2017	493203.00	655368.00
5/5/2017	784368.00	872601.00
5/6/2017	953135.00	1011285.00
5/7/2017	953135.00	1011285.00
5/8/2017	1101055.00	1123355.00
5/9/2017	1187719.00	1179659.00
5/10/2017	1274384.00	1235963.00
5/11/2017	1361048.00	1292267.00
5/12/2017	1466429.00	1370776.00
5/13/2017	1571809.00	1449285.00
5/14/2017	1708042.00	1449285.00
5/15/2017	1844274.00	1571107.00
5/16/2017	1996006.00	1692929.00
5/17/2017	2073238.00	1790424.00
5/18/2017	2180470.00	1863594.00
5/19/2017	2210842.00	1936763.00
5/20/2017	2210842.00	1945801.00
5/21/2017	2210842.00	1945801.00
5/22/2017	2241214.00	1954838.00
5/23/2017	2349571.00	2033026.00
5/24/2017	2401073.00	2105727.00
5/25/2017	2512840.00	2121908.00
5/26/2017	2624606.00	2138090.00
5/27/2017	2736373.00	2154272.00
5/28/2017	2736373.00	2154272.00
5/29/2017	2878157.00	2269125.00
5/30/2017	3881483.00	2838735.00
5/31/2017	3891990.00	2847951.00
6/1/2017	3963512.00	2895278.00
6/2/2017	3963512.00	2895278.00
